CONTINENT,COUNTRY,POSTAL_CODE,CITY,STATE,COUNTY
Australia,AU,200,Australian National University,Australian Capital Territory,CANBERRA
Australia,AU,2540,Jervis Bay,Australian Capital Territory,NEW CNTRY WEST
Australia,AU,2540,Hmas Creswell,Australian Capital Territory,NEW CNTRY WEST
Australia,AU,2905,Calwell,Australian Capital Territory,CANBERRA
Australia,AU,2905,Gilmore,Australian Capital Territory,CANBERRA
Australia,AU,2906,Gordon,Australian Capital Territory,CANBERRA
Australia,AU,2906,Conder,Australian Capital Territory,CANBERRA
Australia,AU,2906,Banks,Australian Capital Territory,CANBERRA
Australia,AU,2911,Mitchell,Australian Capital Territory,CANBERRA
Australia,AU,2912,Gungahlin,Australian Capital Territory,CANBERRA
Australia,AU,2913,Ginninderra Village,Australian Capital Territory,CANBERRA
Australia,AU,2913,Palmerston,Australian Capital Territory,CANBERRA
Australia,AU,2913,Nicholls,Australian Capital Territory,CANBERRA
Australia,AU,2913,Ngunnawal,Australian Capital Territory,CANBERRA
Australia,AU,2914,Amaroo,Australian Capital Territory,CANBERRA
Australia,AU,1215,Australia Square,New South Wales,SYDNEY STREETS
Australia,AU,1220,Grosvenor Place,New South Wales,SYDNEY STREETS
Australia,AU,1225,Royal Exchange,New South Wales,SYDNEY STREETS
Australia,AU,1230,Queen Victoria Building,New South Wales,SYDNEY STREETS
Australia,AU,1235,Sydney South,New South Wales,SYDNEY STREETS
Australia,AU,1240,Haymarket,New South Wales,SYDNEY STREETS
Australia,AU,1300,Darlinghurst,New South Wales,SYDNEY STREETS
Australia,AU,1335,Potts Point,New South Wales,SYDNEY STREETS
Australia,AU,1340,Kings Cross,New South Wales,SYDNEY STREETS
Australia,AU,1350,Woollahra,New South Wales,BONDI
Australia,AU,1355,Bondi Junction,New South Wales,BONDI
Australia,AU,1360,Double Bay,New South Wales,BONDI
Australia,AU,1363,Moore Park,New South Wales,BONDI
Australia,AU,1435,Alexandria,New South Wales,BONDI
Australia,AU,1445,Rosebery,New South Wales,BONDI
Australia,AU,1450,Camperdown,New South Wales,LEICHHARDT
Australia,AU,1455,Botany,New South Wales,BONDI
Australia,AU,1460,Mascot,New South Wales,BONDI
Australia,AU,1465,Kensington,New South Wales,BONDI
Australia,AU,1466,Unsw Sydney,New South Wales,BONDI
Australia,AU,1470,Drummoyne,New South Wales,LEICHHARDT
Australia,AU,1475,Marrickville,New South Wales,LEICHHARDT
Australia,AU,1480,Kingsgrove,New South Wales,ST GEORGE
Australia,AU,1481,Hurstville Bc,New South Wales,ST GEORGE
Australia,AU,1485,Kogarah,New South Wales,ST GEORGE
Australia,AU,1490,Miranda,New South Wales,ILLAWARRA
Australia,AU,1495,Caringbah,New South Wales,ILLAWARRA
Australia,AU,1499,Sutherland,New South Wales,ILLAWARRA
Australia,AU,1515,West Chatswood,New South Wales,CHATSWOOD
Australia,AU,1560,Northbridge,New South Wales,CHATSWOOD
Australia,AU,1565,Milsons Point,New South Wales,CHATSWOOD
Australia,AU,1570,Artarmon,New South Wales,CHATSWOOD
Australia,AU,1585,Crows Nest,New South Wales,CHATSWOOD
Australia,AU,1590,St Leonards,New South Wales,CHATSWOOD
Australia,AU,1595,Lane Cove,New South Wales,CHATSWOOD
Australia,AU,1630,Hornsby,New South Wales,GOSFORD
Australia,AU,1635,Hornsby Westfield,New South Wales,GOSFORD
Australia,AU,1639,Frenchs Forest,New South Wales,WARRINGAH
Australia,AU,1670,North Ryde Bc,New South Wales,GOSFORD
Australia,AU,1675,Gladesville,New South Wales,CHATSWOOD
Australia,AU,1680,Ryde,New South Wales,GOSFORD
Australia,AU,1685,West Ryde,New South Wales,GOSFORD
Australia,AU,1700,Ermington,New South Wales,PARRAMATTA
Australia,AU,1701,Rydalmere Bc,New South Wales,PARRAMATTA
Australia,AU,1710,Epping,New South Wales,GOSFORD
Australia,AU,1715,Pennant Hills,New South Wales,GOSFORD
Australia,AU,1730,Seven Hills,New South Wales,RICHMOND
Australia,AU,1750,North Parramatta,New South Wales,PARRAMATTA
Australia,AU,1755,Baulkham Hills,New South Wales,RICHMOND
Australia,AU,1765,Castle Hill,New South Wales,RICHMOND
Australia,AU,1790,St Marys,New South Wales,PENRITH
Australia,AU,1800,Ashfield,New South Wales,ST GEORGE
Australia,AU,1805,Burwood,New South Wales,PARRAMATTA
Australia,AU,1811,Silverwater,New South Wales,PARRAMATTA
Australia,AU,1825,Lidcombe,New South Wales,PARRAMATTA
Australia,AU,1835,Auburn,New South Wales,BANKSTOWN
Australia,AU,1851,Wetherill Park Dc,New South Wales,BANKSTOWN
Australia,AU,1860,Fairfield,New South Wales,BANKSTOWN
Australia,AU,1871,Liverpool,New South Wales,CAMPBELLTOWN
Australia,AU,1875,Moorebank,New South Wales,CAMPBELLTOWN
Australia,AU,1885,Bankstown,New South Wales,BANKSTOWN
Australia,AU,1890,Ingleburn,New South Wales,CAMPBELLTOWN
Australia,AU,1891,Milperra,New South Wales,BANKSTOWN
Australia,AU,2000,Dawes Point,New South Wales,SYDNEY STREETS
Australia,AU,2232,Sutherland,New South Wales,ILLAWARRA
Australia,AU,2232,Kareela,New South Wales,ILLAWARRA
Australia,AU,2250,Niagara Park,New South Wales,PYMBLE
